"Contact ID","campaign_id","parent_campaign_id","Campaign LaunchTime","Email Opened Time","country","state","Email Opened"
74401,9556,8955,"2020-06-17 07:00:00","2020-07-01 18:29:00",NULL,NULL,"1"
151960,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00",NULL,NULL,"1"
71925,8351,8350,"2020-03-24 11:00:00","2020-04-14 08:59:00",NULL,NULL,"1"
72158,8351,8350,"2020-03-24 11:00:00","2020-04-07 11:18:00",NULL,NULL,"1"
109882,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:06:00",NULL,NULL,"1"
109436,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Iowa","1"
150193,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:11:00",NULL,NULL,"1"
60105,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:18:00",NULL,NULL,"1"
150289,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:27:00",NULL,NULL,"1"
110722,9556,8955,"2020-06-17 07:00:00","2020-06-24 14:03:00",NULL,NULL,"1"
149383,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:01:00",NULL,NULL,"1"
72173,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:56:00",NULL,NULL,"1"
72313,8351,8350,"2020-03-24 11:00:00","2020-04-14 09:46:00",NULL,NULL,"1"
110466,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:01:00",NULL,NULL,"1"
150210,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:14:00",NULL,NULL,"1"
72383,8351,8350,"2020-03-24 11:00:00","2020-04-07 12:30:00",NULL,NULL,"1"
72263,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:22:00",NULL,NULL,"1"
150640,9556,8955,"2020-06-17 07:00:00","2020-06-17 08:48:00",NULL,NULL,"1"
151418,9556,8955,"2020-06-17 07:00:00","2020-07-01 09:26:00",NULL,NULL,"1"
152040,9556,8955,"2020-06-17 07:00:00","2020-07-01 11:02:00",NULL,NULL,"1"
151844,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:05:00",NULL,NULL,"1"
60225,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:05:00",NULL,NULL,"1"
72365,8351,8350,"2020-03-24 11:00:00","2020-04-07 12:43:00",NULL,NULL,"1"
59978,8351,8350,"2020-03-24 11:00:00","2020-04-07 12:19:00",NULL,NULL,"1"
72008,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:06:00",NULL,NULL,"1"
108899,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:00:00",NULL,NULL,"1"
151066,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:05:00",NULL,NULL,"1"
72300,8351,8350,"2020-03-24 11:00:00","2020-04-21 15:50:00",NULL,NULL,"1"
149727,9556,8955,"2020-06-17 07:00:00","2020-06-17 09:16:00",NULL,NULL,"1"
72329,8351,8350,"2020-03-24 11:00:00","2020-04-14 09:49:00",NULL,NULL,"1"
150739,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00",NULL,NULL,"1"
151357,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:13:00","United Kingdom","England","1"
151540,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:37:00",NULL,NULL,"1"
72149,9556,8955,"2020-06-17 07:00:00","2020-06-24 07:56:00",NULL,NULL,"1"
151227,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:21:00",NULL,NULL,"1"
72148,8351,8350,"2020-03-24 11:00:00","2020-04-21 14:47:00",NULL,NULL,"1"
111664,9074,8957,"2020-05-27 07:00:00","2020-05-27 06:01:00",NULL,NULL,"1"
108882,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:00:00",NULL,NULL,"1"
72437,8351,8350,"2020-03-24 11:00:00","2020-04-23 16:54:00",NULL,NULL,"1"
60152,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:10:00",NULL,NULL,"1"
99181,9073,8958,"2020-06-03 07:00:00","2020-06-03 12:21:00",NULL,NULL,"1"
59978,9072,8956,"2020-05-21 07:00:00","2020-05-21 07:24:00",NULL,NULL,"1"
59978,8351,8350,"2020-03-24 11:00:00","2020-04-21 15:30:00",NULL,NULL,"1"
72239,8351,8350,"2020-03-24 11:00:00","2020-03-31 08:18:00",NULL,NULL,"1"
150807,9556,8955,"2020-06-17 07:00:00","2020-07-01 08:32:00",NULL,NULL,"1"
110374,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00","United States","Washington","1"
150731,9556,8955,"2020-06-17 07:00:00","2020-07-01 18:35:00",NULL,NULL,"1"
60028,9556,8955,"2020-06-17 07:00:00","2020-07-01 18:31:00",NULL,NULL,"1"
91102,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00",NULL,NULL,"1"
60110,8351,8350,"2020-03-24 11:00:00","2020-04-07 12:24:00",NULL,NULL,"1"
110996,9556,8955,"2020-06-17 07:00:00","2020-07-02 11:22:00",NULL,NULL,"1"
150366,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:37:00",NULL,NULL,"1"
151576,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:13:00","United Kingdom","England","1"
151174,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00",NULL,NULL,"1"
110734,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:28:00",NULL,NULL,"1"
60266,8351,8350,"2020-03-24 11:00:00","2020-04-23 15:56:00",NULL,NULL,"1"
149841,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:03:00",NULL,NULL,"1"
59953,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:02:00",NULL,NULL,"1"
150224,9556,8955,"2020-06-17 07:00:00","2020-07-01 06:16:00",NULL,NULL,"1"
108875,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00","United States","Wyoming","1"
150861,9556,8955,"2020-06-17 07:00:00","2020-06-26 06:51:00",NULL,NULL,"1"
72005,9556,8955,"2020-06-17 07:00:00","2020-07-01 12:09:00",NULL,NULL,"1"
59978,8351,8350,"2020-03-24 11:00:00","2020-03-24 09:02:00",NULL,NULL,"1"
72096,9073,8958,"2020-06-03 07:00:00","2020-06-03 06:04:00",NULL,NULL,"1"
109620,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:24:00",NULL,NULL,"1"
109620,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00",NULL,NULL,"1"
111453,9072,8956,"2020-05-21 07:00:00","2020-05-22 05:26:00",NULL,NULL,"1"
108860,9072,8956,"2020-05-21 07:00:00","2020-05-21 06:01:00",NULL,NULL,"1"
151683,9556,8955,"2020-06-17 07:00:00","2020-06-26 08:39:00",NULL,NULL,"1"
110422,9556,8955,"2020-06-17 07:00:00","2020-06-24 13:37:00",NULL,NULL,"1"
150751,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:13:00",NULL,NULL,"1"
150620,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00",NULL,NULL,"1"
151713,9556,8955,"2020-06-17 07:00:00","2020-06-26 08:53:00",NULL,NULL,"1"
149666,9556,8955,"2020-06-17 07:00:00","2020-06-26 04:02:00",NULL,NULL,"1"
109525,9556,8955,"2020-06-17 07:00:00","2020-07-01 16:54:00",NULL,NULL,"1"
150619,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00",NULL,NULL,"1"
110275,9074,8957,"2020-05-27 07:00:00","2020-06-10 07:47:00",NULL,NULL,"1"
110081,9556,8955,"2020-06-17 07:00:00","2020-07-01 18:00:00",NULL,NULL,"1"
110407,9556,8955,"2020-06-17 07:00:00","2020-06-24 13:22:00",NULL,NULL,"1"
150575,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:02:00","United States","Oregon","1"
151094,9556,8955,"2020-06-17 07:00:00","2020-06-17 06:12:00",NULL,NULL,"1"
150839,9556,8955,"2020-06-17 07:00:00","2020-06-26 07:30:00",NULL,NULL,"1"
110141,9556,8955,"2020-06-17 07:00:00","2020-07-01 18:07:00",NULL,NULL,"1"
150700,9556,8955,"2020-06-17 07:00:00","2020-06-26 06:33:00",NULL,NULL,"1"
110275,9074,8957,"2020-05-27 07:00:00","2020-06-10 07:22:00",NULL,NULL,"1"
109607,9556,8955,"2020-06-17 07:00:00","2020-06-24 13:25:00",NULL,NULL,"1"
72001,8351,8350,"2020-03-24 11:00:00","2020-04-14 09:06:00",NULL,NULL,"1"
